 slim_337504993 slim_337505010 slim_337505044 slim_337505003 slim_337504571 slim_337504987 slim_337504638 slim_337505024 slim_337505006 slim_337504948 slim_337504950 slim_337504951 slim_337504969 slim_337505022 slim_337504717 slim_337504827 slim_337505030 slim_337504854 slim_337505013 slim_337504902 slim_337504610 slim_337505023 slim_337504866 slim_337504958 slim_337505034 slim_337504681 slim_337505047 slim_337504937 slim_337504722 slim_337504931 slim_337505041 slim_337504864 slim_337504763 slim_337505036 slim_337505001 slim_337504916 slim_337505039 slim_337504922 slim_337504989 slim_337505021 slim_337505033 slim_337504861 slim_337504905 slim_337505032 slim_337504938 slim_337504977 slim_337504849 slim_337504984 slim_337504982 slim_337505019 slim_337504904 slim_337505016 slim_337504981 slim_337504901 slim_337504947 slim_337505020 slim_337504992 slim_337504830 slim_337505012 slim_337504880 slim_337504878 slim_337505042 slim_337504903 slim_337505000 slim_337504997 slim_337505002 slim_337505046 slim_337504886 slim_337504824 slim_337504885 slim_337504825 slim_337504955 slim_337505025 slim_337504912 slim_337504876 slim_337505040 slim_337505018 slim_337505031 slim_337504859 slim_337504990 slim_337504960 slim_337504665 slim_337505017 slim_337504869 slim_337505009 slim_337504858 slim_337504991 slim_337504961 slim_337504994 slim_337504239 slim_337504974 slim_337505029 slim_337505005 slim_337504929 slim_337504908 slim_337504863
29 6.21e-05 4.665e-05 5.755e-05 4.59e-05 6.205e-05 4.88e-05 4.365e-05 4.89e-05 4.625e-05 5.275e-05 5.045e-05 5.72e-05 5.705e-05 4.865e-05 4.325e-05 4.705e-05 4.31e-05 6.18e-05 4.41e-05 4.455e-05 4.95e-05 4.935e-05 4.985e-05 4.39e-05 4.965e-05 4.75e-05 0.0001033 5.135e-05 4.535e-05 8.49e-05 5e-05 4.905e-05 4.955e-05 4.955e-05 4.97e-05 5.905e-05 4.73e-05 4.435e-05 4.755e-05 4.86e-05 4.57e-05 4.25e-05 5.36e-05 4.46e-05 5.005e-05 4.6e-05 4.52e-05 4.355e-05 6.27e-05 4.525e-05 5.015e-05 5.02e-05 4.5e-05 5.765e-05 5.715e-05 5.985e-05 5.485e-05 4.45e-05 4.705e-05 4.985e-05 5.41e-05 4.5e-05 5.185e-05 5.8e-05 0.00010185 4.96e-05 4.895e-05 5.6e-05 4.865e-05 4.39e-05 4.345e-05 4.905e-05 4.87e-05 4.92e-05 4.44e-05 5.665e-05 4.51e-05 4.36e-05 4.88e-05 4.885e-05 5.705e-05 4.695e-05 5.045e-05 5.075e-05 5.645e-05 6.92e-05 4.27e-05 4.37e-05 4.695e-05 9.725e-05 4.7e-05 4.675e-05 4.475e-05 6.065e-05 4.355e-05 4.405e-05
30 6.175e-05 4.56e-05 5.67e-05 4.205e-05 6.17e-05 5e-05 4.63e-05 5.01e-05 4.57e-05 4.575e-05 5.04e-05 6e-05 6.17e-05 5.01e-05 4.63e-05 4.195e-05 5.01e-05 6.1e-05 5.01e-05 4.99e-05 5.405e-05 5.02e-05 5.23e-05 5.055e-05 4.955e-05 4.72e-05 0.00010505 4.725e-05 5.075e-05 5e-05 7.53e-05 5.38e-05 5.41e-05 5.41e-05 5.425e-05 5.305e-05 4.645e-05 4.95e-05 4.22e-05 5.465e-05 4.705e-05 4.985e-05 4.995e-05 4.98e-05 5.44e-05 4.2e-05 4.355e-05 4.555e-05 6.12e-05 4.535e-05 5.47e-05 4.9e-05 4.545e-05 5.805e-05 6.215e-05 6.435e-05 5.405e-05 4.985e-05 4.145e-05 5.44e-05 5.28e-05 5.005e-05 5.07e-05 5.84e-05 0.00010085 5.51e-05 5.015e-05 5.795e-05 5e-05 4.94e-05 4.65e-05 5.38e-05 5.37e-05 4.91e-05 4.645e-05 6.095e-05 5.49e-05 5.05e-05 5e-05 5.395e-05 6.17e-05 4.56e-05 4.925e-05 3.795e-05 6.155e-05 6.885e-05 4.98e-05 5.06e-05 4.62e-05 0.0001009 4.625e-05 4.57e-05 4.99e-05 5.285e-05 4.935e-05 4.595e-05
31 3.235e-05 5.03e-05 5.89e-05 5.23e-05 3.23e-05 4.93e-05 5.225e-05 4.94e-05 2.53e-05 5.08e-05 4.965e-05 3.445e-05 3.37e-05 4.94e-05 7.54e-05 7.675e-05 4.875e-05 3.255e-05 4.83e-05 2.385e-05 2.4e-05 2.545e-05 2.385e-05 5.03e-05 2.305e-05 5.265e-05 7.83e-05 2.42e-05 5.045e-05 4.905e-05 5.38e-05 4.31e-05 2.405e-05 2.405e-05 2.42e-05 3.555e-05 2.665e-05 4.65e-05 5.395e-05 2.45e-05 5.255e-05 4.885e-05 2.47e-05 4.705e-05 2.355e-05 5.225e-05 7.41e-05 4.895e-05 3.21e-05 7.155e-05 2.465e-05 4.83e-05 4.765e-05 5.93e-05 3.41e-05 3.215e-05 2.265e-05 2.39e-05 5.025e-05 2.405e-05 3.98e-05 4.835e-05 2.64e-05 5.965e-05 7.96e-05 2.665e-05 4.945e-05 5.925e-05 4.93e-05 4.695e-05 5.245e-05 2.155e-05 2.29e-05 2.27e-05 7.55e-05 3.245e-05 2.45e-05 5.025e-05 4.93e-05 2.235e-05 3.37e-05 5.005e-05 4.855e-05 7.825e-05 3.22e-05 4.24e-05 4.88e-05 5.035e-05 2.72e-05 0.00010395 2.725e-05 5.04e-05 2.315e-05 6.035e-05 2.28e-05 7.385e-05
32 3.28e-05 5.145e-05 5.81e-05 5.195e-05 3.275e-05 4.835e-05 5.12e-05 4.845e-05 2.705e-05 5.045e-05 4.88e-05 3.45e-05 3.155e-05 4.845e-05 7.435e-05 7.635e-05 4.96e-05 3.165e-05 4.63e-05 2.345e-05 2.19e-05 2.585e-05 2.53e-05 4.81e-05 2.39e-05 5.24e-05 7.735e-05 2.49e-05 4.835e-05 4.955e-05 5.41e-05 2.405e-05 4.36e-05 2.195e-05 2.195e-05 3.525e-05 2.62e-05 4.86e-05 5.355e-05 2.585e-05 5.22e-05 4.935e-05 2.42e-05 4.82e-05 2.285e-05 5.19e-05 7.465e-05 4.96e-05 3.25e-05 7.26e-05 2.265e-05 4.89e-05 4.84e-05 5.84e-05 3.195e-05 3.26e-05 2.315e-05 2.34e-05 5.095e-05 2.26e-05 3.925e-05 4.72e-05 2.615e-05 5.875e-05 7.865e-05 2.43e-05 4.85e-05 5.825e-05 4.835e-05 4.85e-05 5.14e-05 2.405e-05 2.35e-05 2.345e-05 7.455e-05 3.295e-05 2.26e-05 4.805e-05 4.835e-05 2.4e-05 3.155e-05 5.145e-05 4.915e-05 7.85e-05 3.33e-05 4.145e-05 4.93e-05 4.815e-05 2.57e-05 0.0001029 2.575e-05 5.155e-05 2.41e-05 6e-05 2.45e-05 7.29e-05
33 3.28e-05 5.145e-05 5.81e-05 5.195e-05 3.275e-05 4.835e-05 5.12e-05 4.845e-05 2.705e-05 5.05e-05 4.875e-05 3.45e-05 3.155e-05 4.84e-05 7.435e-05 7.635e-05 4.96e-05 3.165e-05 4.63e-05 2.345e-05 2.2e-05 2.585e-05 2.53e-05 4.81e-05 2.385e-05 5.24e-05 7.735e-05 2.49e-05 4.835e-05 4.955e-05 5.41e-05 2.405e-05 2.195e-05 4.36e-05 2.21e-05 3.525e-05 2.62e-05 4.86e-05 5.355e-05 2.585e-05 5.22e-05 4.935e-05 2.405e-05 4.82e-05 2.29e-05 5.19e-05 7.465e-05 4.96e-05 3.25e-05 7.26e-05 2.255e-05 4.89e-05 4.84e-05 5.84e-05 3.195e-05 3.26e-05 2.31e-05 2.34e-05 5.095e-05 2.26e-05 3.915e-05 4.72e-05 2.61e-05 5.875e-05 7.86e-05 2.425e-05 4.845e-05 5.825e-05 4.835e-05 4.85e-05 5.14e-05 2.405e-05 2.35e-05 2.335e-05 7.455e-05 3.295e-05 2.26e-05 4.805e-05 4.83e-05 2.4e-05 3.155e-05 5.145e-05 4.915e-05 7.85e-05 3.33e-05 4.145e-05 4.93e-05 4.815e-05 2.57e-05 0.0001029 2.575e-05 5.155e-05 2.41e-05 6e-05 2.45e-05 7.29e-05
34 3.295e-05 5.16e-05 5.825e-05 5.21e-05 3.29e-05 4.85e-05 5.135e-05 4.86e-05 2.72e-05 5.06e-05 4.895e-05 3.465e-05 3.17e-05 4.86e-05 7.45e-05 7.65e-05 4.975e-05 3.18e-05 4.645e-05 2.36e-05 2.205e-05 2.6e-05 2.545e-05 4.825e-05 2.405e-05 5.255e-05 7.75e-05 2.505e-05 4.85e-05 4.97e-05 5.425e-05 2.42e-05 2.195e-05 2.21e-05 4.39e-05 3.54e-05 2.635e-05 4.875e-05 5.37e-05 2.6e-05 5.235e-05 4.95e-05 2.435e-05 4.835e-05 2.3e-05 5.205e-05 7.48e-05 4.975e-05 3.265e-05 7.275e-05 2.28e-05 4.905e-05 4.855e-05 5.855e-05 3.21e-05 3.275e-05 2.33e-05 2.355e-05 5.11e-05 2.275e-05 3.94e-05 4.735e-05 2.63e-05 5.89e-05 7.88e-05 2.445e-05 4.865e-05 5.84e-05 4.85e-05 4.865e-05 5.155e-05 2.42e-05 2.365e-05 2.36e-05 7.47e-05 3.31e-05 2.275e-05 4.82e-05 4.85e-05 2.415e-05 3.17e-05 5.16e-05 4.93e-05 7.865e-05 3.345e-05 4.16e-05 4.945e-05 4.83e-05 2.585e-05 0.00010305 2.59e-05 5.17e-05 2.425e-05 6.015e-05 2.465e-05 7.305e-05
35 2.91e-05 5.99e-05 5.29e-05 5.195e-05 2.905e-05 5.39e-05 5.445e-05 5.4e-05 3.34e-05 5.5e-05 5.535e-05 3.22e-05 3.345e-05 5.4e-05 7.765e-05 7.86e-05 5.91e-05 2.82e-05 5.94e-05 3.59e-05 3.52e-05 3.095e-05 3.39e-05 5.9e-05 3.1e-05 5.835e-05 8.75e-05 3.01e-05 6.025e-05 5.905e-05 5.305e-05 3.555e-05 3.525e-05 3.525e-05 3.54e-05 5.25e-05 3.395e-05 6.03e-05 5.56e-05 3.545e-05 5.715e-05 5.885e-05 3.07e-05 6.025e-05 3.6e-05 5.19e-05 7.79e-05 5.43e-05 2.96e-05 8.015e-05 3.585e-05 5.46e-05 5.565e-05 5.37e-05 3.4e-05 3.38e-05 3.07e-05 3.585e-05 5.315e-05 3.565e-05 4.53e-05 6.03e-05 3.35e-05 5.405e-05 8.735e-05 3.505e-05 5.405e-05 5.255e-05 5.39e-05 6.02e-05 5.45e-05 3.555e-05 3.54e-05 3.055e-05 7.87e-05 3.44e-05 4.105e-05 5.895e-05 5.39e-05 3.55e-05 3.345e-05 5.99e-05 5.485e-05 7.955e-05 3.395e-05 2.675e-05 5.88e-05 5.905e-05 3.345e-05 0.0001108 3.35e-05 6e-05 3.635e-05 5.33e-05 3.58e-05 7.86e-05
36 4.97e-05 4.71e-05 6.97e-05 4.64e-05 4.965e-05 6.12e-05 5.895e-05 6.13e-05 1.15e-05 6.11e-05 6.155e-05 3.475e-05 3.495e-05 6.13e-05 8.21e-05 8.2e-05 4.735e-05 4.875e-05 4.595e-05 2.01e-05 2.615e-05 3.845e-05 2.61e-05 4.725e-05 3.425e-05 4.695e-05 7.995e-05 2.605e-05 4.74e-05 4.73e-05 4.645e-05 2.665e-05 2.62e-05 2.62e-05 2.635e-05 3.395e-05 2.11e-05 4.665e-05 5.92e-05 2.8e-05 4.685e-05 4.71e-05 2.81e-05 4.675e-05 2.58e-05 4.63e-05 8.085e-05 5.485e-05 4.94e-05 8.095e-05 2.69e-05 6.105e-05 5.445e-05 7.035e-05 3.54e-05 3.78e-05 4.085e-05 2.005e-05 4.57e-05 2.655e-05 5.665e-05 4.665e-05 2.59e-05 7.07e-05 6.72e-05 2.81e-05 6.135e-05 7.03e-05 6.12e-05 4.655e-05 5.915e-05 2.665e-05 2.635e-05 3.38e-05 8.22e-05 3.5e-05 1.195e-05 4.72e-05 6.12e-05 2.67e-05 3.495e-05 4.71e-05 6.13e-05 8.205e-05 3.535e-05 5.775e-05 4.705e-05 4.73e-05 1.155e-05 0.0001004 1.16e-05 4.72e-05 1.955e-05 6.955e-05 1.98e-05 8.145e-05
37 6.24e-05 4.555e-05 5.84e-05 4.805e-05 6.235e-05 4.995e-05 4.7e-05 5.005e-05 4.495e-05 5.14e-05 5.045e-05 5.86e-05 5.8e-05 5.005e-05 4.68e-05 4.81e-05 4.405e-05 6.22e-05 4.36e-05 4.33e-05 4.855e-05 4.985e-05 4.865e-05 4.56e-05 4.785e-05 4.835e-05 0.00010305 4.94e-05 4.59e-05 4.435e-05 4.95e-05 4.65e-05 4.86e-05 4.86e-05 4.875e-05 6.03e-05 4.665e-05 8.15e-05 4.865e-05 4.945e-05 4.81e-05 4.415e-05 5.185e-05 4.16e-05 4.845e-05 4.8e-05 4.605e-05 4.45e-05 6.21e-05 4.085e-05 4.92e-05 4.845e-05 4.245e-05 5.985e-05 5.84e-05 6.015e-05 5.295e-05 4.335e-05 4.495e-05 4.88e-05 5.36e-05 4.26e-05 5.12e-05 6.02e-05 0.0001016 5.12e-05 5.01e-05 5.965e-05 4.995e-05 4.12e-05 4.72e-05 4.65e-05 4.745e-05 4.75e-05 4.705e-05 5.67e-05 4.405e-05 4.555e-05 4.995e-05 4.73e-05 5.8e-05 4.53e-05 4.87e-05 4.955e-05 5.65e-05 7.18e-05 4.41e-05 4.565e-05 4.685e-05 9.945e-05 4.69e-05 4.565e-05 4.295e-05 6.07e-05 4.22e-05 4.45e-05
38 5.105e-05 4.7e-05 4.5e-05 4.265e-05 5.1e-05 3.76e-05 3.06e-05 3.77e-05 5.875e-05 3.72e-05 3.89e-05 6.03e-05 6.06e-05 3.77e-05 3.1e-05 3.05e-05 4.765e-05 5.055e-05 4.82e-05 5.185e-05 5.35e-05 3.74e-05 5.36e-05 4.75e-05 4.215e-05 4.85e-05 0.0001047 4.94e-05 4.86e-05 4.755e-05 4.22e-05 5.395e-05 5.355e-05 5.355e-05 5.37e-05 5.56e-05 5.92e-05 4.865e-05 6.09e-05 5.365e-05 4.745e-05 4.74e-05 5.135e-05 4.88e-05 5.415e-05 4.26e-05 3.245e-05 3.565e-05 5.12e-05 3.365e-05 5.415e-05 3.83e-05 3.7e-05 4.565e-05 6.07e-05 6.35e-05 4.425e-05 5.18e-05 4.365e-05 5.385e-05 4.265e-05 4.86e-05 5.36e-05 4.6e-05 0.0001118 5.31e-05 3.775e-05 4.465e-05 3.76e-05 4.855e-05 3.095e-05 5.395e-05 5.375e-05 4.17e-05 3.245e-05 6.08e-05 6.4e-05 4.745e-05 3.76e-05 5.38e-05 6.06e-05 4.7e-05 3.855e-05 3.075e-05 6.07e-05 5.75e-05 4.735e-05 4.755e-05 5.875e-05 9.775e-05 5.88e-05 4.71e-05 5.215e-05 4.45e-05 5.185e-05 3.25e-05
39 3.29e-05 5.175e-05 5.84e-05 5.14e-05 3.285e-05 4.935e-05 5.05e-05 4.945e-05 2.73e-05 5.25e-05 5.035e-05 3.41e-05 3.405e-05 4.93e-05 7.35e-05 7.65e-05 4.9e-05 3.33e-05 5.01e-05 2.57e-05 2.58e-05 2.58e-05 2.535e-05 4.995e-05 2.53e-05 5.25e-05 7.9e-05 2.65e-05 5.075e-05 4.86e-05 5.465e-05 2.45e-05 2.585e-05 2.585e-05 2.6e-05 3.545e-05 2.8e-05 4.945e-05 5.365e-05 4.79e-05 5.155e-05 4.85e-05 2.7e-05 4.97e-05 2.585e-05 5.145e-05 7.42e-05 4.905e-05 3.335e-05 7.395e-05 2.645e-05 4.965e-05 4.97e-05 5.825e-05 3.415e-05 3.27e-05 2.495e-05 2.575e-05 5.17e-05 2.595e-05 4.15e-05 5.025e-05 2.775e-05 5.86e-05 8.03e-05 2.63e-05 4.95e-05 5.74e-05 4.925e-05 4.9e-05 5.04e-05 2.45e-05 2.485e-05 2.495e-05 7.405e-05 3.345e-05 2.64e-05 4.975e-05 4.935e-05 2.42e-05 3.405e-05 5.18e-05 4.99e-05 7.945e-05 3.33e-05 4.14e-05 4.86e-05 4.985e-05 2.815e-05 0.00010265 2.82e-05 5.185e-05 2.55e-05 6.11e-05 2.47e-05 7.36e-05
40 6.38e-05 4.815e-05 5.84e-05 4.46e-05 6.375e-05 5.09e-05 4.52e-05 5.1e-05 4.62e-05 5.32e-05 5.26e-05 5.735e-05 5.855e-05 5.075e-05 4.48e-05 4.695e-05 4.615e-05 6.33e-05 4.71e-05 4.79e-05 5.215e-05 5.16e-05 5.125e-05 4.6e-05 5.3e-05 4.585e-05 0.000105 5.255e-05 4.75e-05 4.57e-05 4.705e-05 5.255e-05 5.22e-05 5.22e-05 5.235e-05 5.715e-05 4.685e-05 4.81e-05 4.745e-05 5.155e-05 8.8e-05 4.565e-05 5.495e-05 4.82e-05 5.31e-05 4.47e-05 4.615e-05 4.635e-05 6.44e-05 4.87e-05 5.28e-05 5.23e-05 4.86e-05 5.87e-05 5.87e-05 6.165e-05 5.765e-05 4.785e-05 4.67e-05 5.26e-05 5.605e-05 4.805e-05 5.07e-05 5.905e-05 0.00010215 5.13e-05 5.105e-05 5.7e-05 5.075e-05 4.8e-05 4.5e-05 5.255e-05 5.24e-05 5.255e-05 4.6e-05 5.925e-05 4.815e-05 4.57e-05 5.09e-05 5.22e-05 5.855e-05 4.815e-05 5.255e-05 4.9e-05 5.87e-05 6.96e-05 4.585e-05 4.58e-05 4.62e-05 9.84e-05 4.625e-05 4.825e-05 4.85e-05 5.945e-05 4.785e-05 4.64e-05
41 6.19e-05 4.645e-05 5.735e-05 4.57e-05 6.185e-05 4.86e-05 4.345e-05 4.87e-05 4.605e-05 5.26e-05 5.025e-05 5.7e-05 5.685e-05 4.845e-05 4.305e-05 4.69e-05 4.29e-05 6.16e-05 4.39e-05 4.435e-05 4.93e-05 4.915e-05 4.965e-05 4.37e-05 4.945e-05 4.73e-05 0.0001031 5.115e-05 4.515e-05 4.25e-05 4.985e-05 4.885e-05 4.935e-05 4.935e-05 4.95e-05 5.885e-05 4.71e-05 4.415e-05 4.74e-05 4.85e-05 4.565e-05 8.45e-05 5.34e-05 4.44e-05 4.985e-05 4.58e-05 4.5e-05 4.335e-05 6.25e-05 4.505e-05 4.995e-05 5e-05 4.48e-05 5.745e-05 5.695e-05 5.965e-05 5.465e-05 4.43e-05 4.685e-05 4.965e-05 5.395e-05 4.48e-05 5.165e-05 5.78e-05 0.00010165 4.94e-05 4.875e-05 5.585e-05 4.845e-05 4.365e-05 4.325e-05 4.885e-05 4.845e-05 4.9e-05 4.42e-05 5.64e-05 4.49e-05 4.34e-05 4.86e-05 4.865e-05 5.685e-05 4.68e-05 5.025e-05 5.065e-05 5.625e-05 6.9e-05 4.245e-05 4.35e-05 4.675e-05 9.705e-05 4.68e-05 4.655e-05 4.455e-05 6.05e-05 4.335e-05 4.385e-05
42 2.7e-05 5.34e-05 5.535e-05 4.99e-05 2.695e-05 4.495e-05 5.11e-05 4.505e-05 2.895e-05 4.505e-05 4.48e-05 3.63e-05 3.475e-05 4.475e-05 7.445e-05 7.435e-05 5.365e-05 2.575e-05 5.13e-05 2.815e-05 2.415e-05 2.235e-05 2.62e-05 5.38e-05 1.92e-05 5.485e-05 7.77e-05 1.875e-05 5.375e-05 5.36e-05 4.995e-05 2.47e-05 2.42e-05 2.405e-05 2.435e-05 3.07e-05 2.81e-05 5.185e-05 5.135e-05 2.7e-05 5.495e-05 5.34e-05 2.96e-05 5.215e-05 2.36e-05 4.985e-05 7.24e-05 4.88e-05 2.665e-05 7.11e-05 2.48e-05 4.525e-05 4.75e-05 5.57e-05 3.515e-05 3.165e-05 1.605e-05 2.82e-05 4.81e-05 2.5e-05 3.325e-05 5.21e-05 2.51e-05 5.605e-05 7.725e-05 2.72e-05 4.48e-05 5.585e-05 4.495e-05 5.175e-05 5.13e-05 2.47e-05 2.405e-05 1.905e-05 7.435e-05 3.445e-05 3.235e-05 5.375e-05 4.465e-05 2.495e-05 3.475e-05 5.325e-05 4.55e-05 7.44e-05 3.485e-05 3.655e-05 5.335e-05 5.385e-05 2.925e-05 0.00010675 2.93e-05 5.35e-05 2.735e-05 5.55e-05 2.755e-05 7.29e-05
43 6.27e-05 4.61e-05 5.855e-05 4.805e-05 6.265e-05 5e-05 4.685e-05 5.01e-05 4.515e-05 5.175e-05 5.045e-05 5.88e-05 5.755e-05 5.01e-05 4.685e-05 4.845e-05 4.43e-05 6.22e-05 4.34e-05 4.315e-05 4.82e-05 5e-05 4.92e-05 4.52e-05 4.815e-05 4.84e-05 0.00010285 4.975e-05 4.545e-05 4.46e-05 4.98e-05 4.705e-05 4.82e-05 4.82e-05 4.835e-05 6.025e-05 4.675e-05 4.16e-05 4.88e-05 4.97e-05 4.82e-05 4.44e-05 5.215e-05 8.24e-05 4.87e-05 4.8e-05 4.655e-05 4.47e-05 6.24e-05 4.21e-05 4.88e-05 4.895e-05 4.2e-05 5.98e-05 5.795e-05 6.055e-05 5.33e-05 4.31e-05 4.555e-05 4.85e-05 5.395e-05 4.28e-05 5.13e-05 6.015e-05 0.0001014 5.06e-05 5.015e-05 5.965e-05 5e-05 4.205e-05 4.705e-05 4.705e-05 4.77e-05 4.77e-05 4.705e-05 5.69e-05 4.385e-05 4.515e-05 5e-05 4.755e-05 5.755e-05 4.6e-05 4.92e-05 5.02e-05 5.67e-05 7.175e-05 4.435e-05 4.525e-05 4.64e-05 9.925e-05 4.645e-05 4.62e-05 4.335e-05 6.1e-05 4.25e-05 4.395e-05
44 3.285e-05 5.135e-05 5.885e-05 5.285e-05 3.28e-05 4.87e-05 5.24e-05 4.88e-05 2.725e-05 4.995e-05 4.885e-05 3.52e-05 3.32e-05 4.88e-05 7.555e-05 7.695e-05 5.01e-05 3.185e-05 4.77e-05 2.455e-05 2.28e-05 2.605e-05 2.515e-05 4.99e-05 2.355e-05 5.3e-05 7.75e-05 2.45e-05 4.985e-05 5.005e-05 5.44e-05 2.355e-05 2.285e-05 2.29e-05 2.3e-05 3.6e-05 2.58e-05 4.845e-05 5.415e-05 2.585e-05 5.31e-05 4.985e-05 2.36e-05 4.87e-05 4.26e-05 5.28e-05 7.515e-05 5.01e-05 3.255e-05 7.25e-05 2.33e-05 4.88e-05 4.89e-05 5.915e-05 3.36e-05 3.265e-05 2.25e-05 2.45e-05 5.12e-05 2.285e-05 3.925e-05 4.835e-05 2.62e-05 5.95e-05 7.88e-05 2.58e-05 4.885e-05 5.93e-05 4.87e-05 4.835e-05 5.26e-05 2.355e-05 2.315e-05 2.31e-05 7.545e-05 3.33e-05 2.28e-05 4.985e-05 4.87e-05 2.38e-05 3.32e-05 5.135e-05 4.905e-05 7.85e-05 3.365e-05 4.235e-05 4.98e-05 4.995e-05 2.72e-05 0.0001039 2.725e-05 5.145e-05 2.3e-05 6.045e-05 2.44e-05 7.41e-05
45 5.875e-05 4.805e-05 5.355e-05 3.97e-05 5.87e-05 4.585e-05 4.035e-05 4.59e-05 4.57e-05 4.835e-05 4.775e-05 5.69e-05 5.825e-05 4.615e-05 4e-05 4.23e-05 4.59e-05 5.825e-05 4.685e-05 4.76e-05 5.185e-05 4.655e-05 5.08e-05 4.575e-05 4.795e-05 4.615e-05 0.0001043 4.74e-05 4.74e-05 4.6e-05 4.2e-05 5.225e-05 5.19e-05 5.19e-05 5.205e-05 5.19e-05 4.63e-05 4.8e-05 4.26e-05 5.145e-05 4.47e-05 4.58e-05 4.985e-05 4.8e-05 5.28e-05 7.87e-05 4.135e-05 4.135e-05 5.935e-05 4.405e-05 5.25e-05 4.745e-05 4.365e-05 5.385e-05 5.84e-05 6.135e-05 5.26e-05 4.755e-05 4.165e-05 5.23e-05 5.12e-05 4.795e-05 5.08e-05 5.42e-05 0.0001014 5.085e-05 4.605e-05 5.245e-05 4.605e-05 4.79e-05 4.03e-05 5.225e-05 5.21e-05 4.75e-05 4.12e-05 5.895e-05 5.26e-05 4.585e-05 4.59e-05 5.19e-05 5.825e-05 4.805e-05 4.77e-05 4.435e-05 5.84e-05 6.455e-05 4.555e-05 4.595e-05 4.57e-05 9.79e-05 4.575e-05 4.815e-05 4.82e-05 5.475e-05 4.755e-05 4.18e-05
46 7.225e-05 4.695e-05 4.46e-05 4.155e-05 7.22e-05 3.57e-05 3.05e-05 3.58e-05 8e-05 3.785e-05 3.75e-05 8.23e-05 8.215e-05 3.595e-05 6.8e-06 8.8e-06 4.5e-05 7.22e-05 4.575e-05 7.225e-05 7.46e-05 5.93e-05 7.47e-05 4.54e-05 6.265e-05 4.755e-05 0.00012785 6.995e-05 4.71e-05 4.52e-05 4.355e-05 7.41e-05 7.465e-05 7.465e-05 7.48e-05 7.79e-05 8.085e-05 4.605e-05 3.245e-05 7.42e-05 4.615e-05 4.5e-05 7.24e-05 4.655e-05 7.515e-05 4.135e-05 1.23e-05 3.315e-05 7.285e-05 8.45e-06 7.525e-05 3.7e-05 3.475e-05 4.47e-05 8.225e-05 8.45e-05 6.5e-05 7.23e-05 4.23e-05 7.495e-05 4.875e-05 4.65e-05 7.525e-05 4.505e-05 0.00013495 7.46e-05 3.585e-05 4.335e-05 3.585e-05 4.59e-05 3.045e-05 7.41e-05 7.43e-05 6.23e-05 7.95e-06 8.225e-05 8.49e-05 4.56e-05 3.57e-05 7.375e-05 8.215e-05 4.655e-05 3.725e-05 1.075e-05 8.175e-05 7.96e-05 4.48e-05 4.57e-05 8.05e-05 9.845e-05 8.055e-05 4.705e-05 7.255e-05 4.575e-05 7.185e-05 7.9e-06
47 4.97e-05 4.73e-05 4.555e-05 4.155e-05 4.965e-05 3.665e-05 3.17e-05 3.675e-05 5.38e-05 4.08e-05 3.845e-05 5.725e-05 5.71e-05 3.69e-05 3.135e-05 3.535e-05 4.345e-05 4.955e-05 4.43e-05 4.425e-05 4.955e-05 3.7e-05 4.975e-05 4.405e-05 3.705e-05 4.775e-05 0.00010295 4.645e-05 4.565e-05 4.355e-05 4.555e-05 4.895e-05 4.96e-05 4.96e-05 4.975e-05 5.43e-05 5.485e-05 4.45e-05 3.565e-05 4.905e-05 4.635e-05 4.335e-05 4.88e-05 4.47e-05 5.01e-05 4.135e-05 3.315e-05 6.14e-05 5.03e-05 3.32e-05 5.02e-05 3.805e-05 3.22e-05 4.565e-05 5.72e-05 5.975e-05 4.245e-05 4.395e-05 4.24e-05 4.99e-05 4.21e-05 4.515e-05 5.185e-05 4.6e-05 0.000109 4.955e-05 3.68e-05 4.43e-05 3.68e-05 4.435e-05 3.165e-05 4.895e-05 4.905e-05 3.635e-05 3.245e-05 5.7e-05 5.745e-05 4.415e-05 3.665e-05 4.865e-05 5.71e-05 4.715e-05 3.83e-05 3.91e-05 5.65e-05 5.695e-05 4.315e-05 4.425e-05 5.45e-05 9.715e-05 5.455e-05 4.74e-05 4.42e-05 4.87e-05 4.335e-05 3.225e-05
